gender,age,study_hours_per_week,attendance_rate,parent_education,internet_access,extracurricular,previous_score,final_score,passed
1,15.0,25.0,63.8,1,1,1,41,67,1
0,15.0,2.0,54.7,1,1,1,83,28,0
0,19.0,10.0,90.5,2,1,0,73,49,0
1,16.0,26.0,66.8,2,0,1,75,70,1
0,15.0,25.0,73.0,2,0,1,67,77,1
0,19.0,8.0,85.2,2,1,0,40,37,0
1,18.0,10.0,72.7,3,1,0,75,42,0
0,15.0,21.0,81.7,3,1,1,89,70,1
0,19.0,9.0,84.2,2,1,1,70,49,0
0,15.0,8.0,95.7,3,0,1,93,56,1
0,16.0,10.0,57.0,3,0,0,81,44,0
1,16.0,18.0,74.7,2,1,1,50,69,1
0,19.0,4.0,69.2,3,0,0,31,38,0
1,19.0,26.0,63.3,3,1,0,85,64,1
0,15.0,25.0,93.8,3,1,1,68,84,1
1,16.0,13.0,88.1,3,1,0,92,49,0
1,17.0,30.0,99.3,3,1,1,60,89,1
1,15.0,25.0,74.3,2,1,1,90,79,1
1,17.0,18.0,93.6,4,1,1,69,65,1
0,18.0,30.0,75.9,2,1,1,38,70,1
1,19.0,19.0,61.5,1,1,1,37,46,0
1,15.0,29.0,66.5,3,1,0,92,72,1
1,19.0,20.0,73.6,4,0,1,42,48,0
0,17.0,15.0,70.6,2,1,1,81,67,1
0,15.0,9.0,59.6,3,0,1,84,38,0
0,18.0,9.0,93.7,2,0,1,36,53,1
1,15.0,26.0,92.4,1,0,0,91,75,1
0,15.0,7.0,68.9,4,0,0,66,42,0
0,16.0,8.0,64.8,2,1,0,37,24,0
0,19.0,29.0,76.6,2,1,1,38,78,1
1,16.0,14.0,56.0,3,1,1,40,43,0
0,17.0,8.0,83.5,3,1,0,80,42,0
0,18.0,12.0,96.5,2,1,0,42,42,0
1,19.0,10.0,56.6,3,1,1,77,41,0
1,18.0,28.0,77.2,3,1,0,43,62,1
0,15.0,30.0,55.4,3,1,0,66,78,1
1,17.0,8.0,84.4,3,0,0,36,31,0
0,17.0,3.0,50.2,1,0,1,86,38,0
0,19.0,2.0,55.6,1,1,0,48,27,0
1,15.0,11.0,68.2,2,0,1,61,55,1
1,17.0,26.0,78.0,4,1,1,50,82,1
1,18.0,2.0,59.0,3,0,1,64,23,0
1,18.0,29.0,51.9,4,1,1,88,72,1
0,16.0,9.0,51.2,1,0,0,65,28,0
0,17.0,22.0,75.5,3,0,1,44,57,1
1,19.0,10.0,51.9,3,0,0,70,42,0
1,18.0,30.0,78.8,3,1,0,30,75,1
1,17.0,15.0,53.5,3,0,1,68,53,1
0,18.0,12.0,70.1,3,1,1,83,61,1
